thesaurus_title, gcmd_keyword
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > Welch Island"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > HUMAN DIMENSIONS > ENVIRONMENTAL IMPACTS > HEAVY METALS CONCENTRATION"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Biosphere | Zoology | Fish"
"NASA/GCMD Earth Science Keywords", "CONTINENT > ANTARCTICA > KARELIN BAY"
"Global Change Master Directory Earth Science Keywords v.5.3.8", "Oceans | Bathymetry | Seafloor Topography"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | COMMUNITY DYNAMICS | INVASIVE SPECIES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > COASTAL PROCESSES > LONGSHORE CURRENTS"
"NASA/GCMD Earth Science Keywords", "Acoustic Sounders"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE SERVICES > MODELS > DYNAMIC VEGETATION/ECOSYSTEM MODELS"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOLOGICAL DYNAMICS | ECOSYSTEM FUNCTIONS | TROPHIC DYNAMICS"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Marine Sediments | Turbidity"
"GCMD Keywords", "Earth Science | Human Dimensions | Socioeconomics"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOSYSTEMS | ANTHROPOGENIC/HUMAN INFLUENCED ECOSYSTEMS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > WATER QUALITY/WATER CHEMISTRY > ISOTOPES > STABLE ISOTOPES"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > TERRESTRIAL HYDROSPHERE > WATER QUALITY/WATER CHEMISTRY > CONTAMINANTS"
"NASA/GCMD Earth Science Keywords", "ACOUSTIC MOORING"
"GCMD Keywords", "Earth Science | Land Surface | Landscape | Landscape Ecology"
"Global Change Master Directory (GCMD) Earth Science Keywords Version 8.0", "COASTAL HABITAT"
"NASA/Global Change Master Directory Earth Science Keywords Version 5.3.8", "Oceans | Water Quality | Phosphorous Compounds"
"GCMD Science Keywords 5.3.8", "Biosphere"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS"
"GCMD Keywords", "Earth Science | Land Surface | Soils | Soil Temperature"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > SOUTHERN KERGUELEN PLATEAU"
"GCMD Keywords", "Earth Science | Human Dimensions | Environmental Governance/Management | Land Management | Land Use Classes"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > COMMUNITY DYNAMICS"
"GCMD Keywords", "Earth Science | Biosphere | Ecological Dynamics | Species/Population Interactions | Species Predation"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > SURFACE WINDS > WIND SPEED TENDENCY"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > INDIAN SECTOR"
"GCMD Keywords", "Earth Science | Biological Classification | Animals/Invertebrates | Segmented Worms (Annelids)"
"NASA/GCMD Earth Science Keywords", "MODIS > Moderate-Resolution Imaging Spectroradiometer"
"NASA/GCMD Earth Science Keywords", "OCEAN > SOUTHERN OCEAN > MACQUARIE ISLAND > Summer Camps"
"NASA/GCMD Earth Science Keywords", "GRAVIMETERS"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | BIOSPHERE | ECOSYSTEMS | MARINE ECOSYSTEMS | COASTAL | SAV/SEA GRASS BED"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > SOLID EARTH > ROCKS/MINERALS/CRYSTALS > SEDIMENTARY ROCKS"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > ATMOSPHERE > WEATHER EVENTS > ICE STORMS"
"NASA/GCMD Earth Science Keywords", "Aqua > Earth Observing System"
"GCMD Keywords", "Earth Science | Atmosphere | Atmospheric Radiation"
"GCMD Keywords", "Earth Science | Cryosphere | Snow/Ice | Snow Cover"
"NASA/GCMD Earth Science Keywords", "Pyrgeometer > Pyrgeometer"
"GCMD Keywords", "Earth Science | Spectral/Engineering | Visible Wavelengths | Visible Imagery"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/INVERTEBRATES > ARTHROPODS > CHELICERATES"
"NASA/GCMD Keywords, Version 8.5", "EARTH SCIENCE | ATMOSPHERE | ATMOSPHERIC PRESSURE | PLANETARY/ROSSBY WAVES"
"Global Change Master Directory Earth Science Keywords, Version 8.5", "EARTH SCIENCE | SOLID EARTH | GRAVITY/GRAVITATIONAL FIELD | GRAVITATIONAL FIELD"
"NASA/GCMD Earth Science Keywords", "EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/INVERTEBRATES > CNIDARIANS > ANTHOZOANS/HEXACORALS"
"NASA/Global Change Master Directory (GCMD) Earth Science Keywords. Version 5.3.8", "Biosphere | Zoology | Invertebrates"
"NASA/GCMD Earth Science Keywords", "CONTINENT > AUSTRALIA/NEW ZEALAND > AUSTRALIA > HOBART"
